"taxon_name","wcvp_accepted_id","status","redlistCategory"
"Dactyloctenium aegyptium",406842,"naturalized",NA
"Senna bicapsularis",2491981,"naturalized","Least Concern"
"Ricinus communis",178867,"naturalized",NA
"Kalanchoe daigremontiana",2335859,"naturalized","Endangered"
"Cryptostegia grandiflora",503275,"naturalized",NA
"Cleome gynandra",2727343,"naturalized",NA
"Azadirachta indica",2667002,"naturalized","Least Concern"
"Lawsonia inermis",2353863,"naturalized","Least Concern"
"Senna italica",2590620,"naturalized",NA
"Albizia lebbeck",2627391,"naturalized","Least Concern"
"Antigonon leptopus",2642295,"naturalized",NA
"Leucaena leucocephala",2346347,"naturalized",NA
"Chenopodiastrum murale",2913109,"naturalized",NA
"Moringa oleifera",2501705,"naturalized","Least Concern"
"Calotropis procera",502091,"naturalized","Least Concern"
"Melinis repens",423957,"naturalized",NA
"Catharanthus roseus",35719,"naturalized",NA
"Cyperus rotundus",238342,"naturalized","Least Concern"
"Tecoma stans",318412,"naturalized","Least Concern"
"Clitoria ternatea",2728115,"naturalized",NA
"Aloe vera",298116,"naturalized",NA
"Cleome viscosa",2727669,"naturalized",NA
"Erythrina abyssinica",2800761,"naturalized","Least Concern"
"Rumex abyssinicus",2424205,"naturalized",NA
"Parkinsonia aculeata",2415662,"naturalized","Least Concern"
"Inga affinis",2864998,"naturalized","Least Concern"
"Funtumia africana",84894,"naturalized","Least Concern"
"Senna alata",2475546,"naturalized","Least Concern"
"Populus alba",2917735,"naturalized","Critically Endangered"
"Populus alba",2917735,"naturalized","Least Concern"
"Populus alba",2917735,"naturalized","Data Deficient"
"Populus alba",2917735,"naturalized","Endangered"
"Ipomoea alba",480621,"naturalized","Least Concern"
"Melilotus albus",2367267,"naturalized",NA
"Phyllanthus amarus",153315,"naturalized",NA
"Dysphania ambrosioides",2780223,"naturalized",NA
"Schwenckia americana",2579663,"naturalized",NA
"Physalis angulata",2549815,"naturalized","Least Concern"
"Mercurialis annua",125710,"naturalized",NA
"Capsicum annuum",2698415,"naturalized","Least Concern"
"Khaya anthotheca",2335002,"naturalized","Vulnerable"
"Hexasepalum apiculatum",520961,"naturalized",NA
"Celosia argentea",2707791,"naturalized","Least Concern"
"Cicer arietinum",2720549,"naturalized",NA
"Lysimachia arvensis",2896568,"naturalized",NA
"Spergula arvensis",2487413,"naturalized",NA
"Torilis arvensis",2435694,"naturalized",NA
"Achyranthes aspera",2617475,"naturalized",NA
"Macroptilium atropurpureum",2366201,"naturalized",NA
"Polygonum aviculare",2574669,"naturalized",NA
"Melia azedarach",2505106,"naturalized","Least Concern"
"Capsicum baccatum",2698448,"naturalized",NA
"Ocimum basilicum",136820,"naturalized",NA
"Hydrocotyle bonariensis",2855944,"naturalized","Least Concern"
"Guilandina bonduc",2834886,"naturalized","Least Concern"
"Cinnamomum burmanni",2721172,"naturalized","Vulnerable"
"Cinnamomum burmanni",2721172,"naturalized","Least Concern"
"Cinnamomum burmanni",2721172,"naturalized","Data Deficient"
"Capsella bursa-pastoris",2697999,"naturalized",NA
"Cajanus cajan",2690294,"naturalized",NA
"Pityrogramma calomelanos",3144100,"naturalized",NA
"Eucalyptus camaldulensis",72616,"naturalized","Near Threatened"
"Lantana camara",107934,"naturalized",NA
"Haematoxylum campechianum",2837501,"naturalized","Least Concern"
"Persicaria capitata",2576526,"naturalized",NA
"Canavalia cathartica",2696159,"naturalized",NA
"Amaranthus caudatus",2632762,"naturalized",NA
"Gomphrena celosioides",2829071,"naturalized",NA
"Jatropha chevalieri",104529,"naturalized",NA
"Neltuma chilensis",3293641,"naturalized","Least Concern"
"Cymbopogon citratus",406132,"naturalized",NA
"Ixora coccinea",103356,"naturalized",NA
"Ananas comosus",219669,"naturalized",NA
"Ageratum conyzoides",3129224,"naturalized",NA
"Eleusine coracana",410607,"naturalized",NA
"Drymaria cordata",2778492,"naturalized",NA
"Vernicia cordata",212844,"naturalized","Least Concern"
"Sida cordifolia",2595669,"naturalized",NA
"Oxalis corniculata",2394644,"naturalized","Critically Endangered"
"Pontederia crassipes",259467,"naturalized",NA
"Rumex crispus",2424294,"naturalized",NA
"Heliotropium curassavicum",2843936,"naturalized","Least Concern"
"Jatropha curcas",104552,"naturalized","Least Concern"
"Biancaea decapetala",2675692,"naturalized","Least Concern"
"Kalanchoe delagoensis",2335898,"naturalized",NA
"Guilleminea densa",2834933,"naturalized",NA
"Senna didymobotrya",2490685,"naturalized","Least Concern"
"Boerhavia diffusa",2678624,"naturalized",NA
"Desmodium subsecundum",2762838,"naturalized","Data Deficient"
"Tithonia diversifolia",3122688,"naturalized",NA
"Pontederia diversifolia",531028,"naturalized",NA
"Arundo donax",396629,"naturalized","Least Concern"
"Inga edulis",2865225,"naturalized","Least Concern"
"Passiflora edulis",2559735,"naturalized",NA
"Pigea enneasperma",3275712,"naturalized",NA
"Canavalia ensiformis",2696172,"naturalized",NA
"Boerhavia erecta",2678654,"naturalized",NA
"Duranta erecta",65221,"naturalized","Least Concern"
"Olea europaea",355112,"naturalized",NA
"Vicia faba",2452318,"naturalized",NA
"Vachellia farnesiana",2452405,"naturalized","Least Concern"
"Cassytha filiformis",2704602,"naturalized",NA
"Furcraea foetida",307055,"naturalized",NA
"Passiflora foetida",2559676,"naturalized",NA
"Phyllanthus fraternus",153881,"naturalized",NA
"Calotropis gigantea",502084,"naturalized",NA
"Erythrostemon gilliesii",2801221,"naturalized",NA
"Nicotiana glauca",2382892,"naturalized",NA
"Gomphrena globosa",2829209,"naturalized",NA
"Wolffia globosa",214835,"naturalized","Least Concern"
"Cardiospermum grandiflorum",2700788,"naturalized",NA
"Abutilon grandifolium",2610654,"naturalized",NA
"Anethum graveolens",2638934,"naturalized",NA
"Psidium guajava",166741,"naturalized","Least Concern"
"Stylosanthes guianensis",2596987,"naturalized",NA
"Psidium guineense",166748,"naturalized","Least Concern"
"Senna hirsuta",2490649,"naturalized",NA
"Vicia hirsuta",2452234,"naturalized",NA
"Gossypium hirsutum",2831092,"naturalized","Vulnerable"
"Cocculus hirsutus",2729659,"naturalized","Least Concern"
"Acanthospermum hispidum",2922485,"naturalized",NA
"Amaranthus hybridus",2632871,"naturalized",NA
"Arachis hypogaea",2646420,"naturalized",NA
"Cynodon incompletus",406383,"naturalized",NA
"Canna indica",223906,"naturalized",NA
"Flacourtia indica",2924942,"naturalized","Least Concern"
"Heliotropium indicum",2844124,"naturalized",NA
"Datura innoxia",2757799,"naturalized",NA
"Desmodium intortum",2762424,"naturalized","Least Concern"
"Mirabilis jalapa",2502156,"naturalized",NA
"Brassica juncea",2682298,"naturalized",NA
"Spartium junceum",2597714,"naturalized",NA
"Physalis lagascae",2549409,"naturalized","Least Concern"
"Nephelium lappaceum",2382804,"naturalized","Least Concern"
"Olyra latifolia",426184,"naturalized",NA
"Persicaria limbata",2572644,"naturalized","Least Concern"
"Corrigiola litoralis",2738255,"naturalized","Least Concern"
"Aristolochia littoralis",2651580,"naturalized",NA
"Hymenocallis littoralis",278844,"naturalized",NA
"Urena lobata",2449399,"naturalized","Least Concern"
"Malva longiflora",2914374,"naturalized",NA
"Glinus lotoides",2826558,"naturalized","Least Concern"
"Phaseolus lunatus",2538247,"naturalized","Least Concern"
"Pseudognaphalium luteoalbum",3091422,"naturalized",NA
"Phyllanthus maderaspatensis",154278,"naturalized","Least Concern"
