"taxon_name","ISO3_Code","overlap"
"Abies alba","DEU",TRUE
"Abies sibirica","RUS",TRUE
"Achillea nobilis","RUS",TRUE
"Acmella paniculata","TWN",TRUE
"Aconitum napellus","SWE",FALSE
"Aconitum uncinatum","USA",TRUE
"Acorus calamus","CHE",FALSE
"Acorus calamus","RUS",TRUE
"Adenophora stricta","JPN",FALSE
"Adlumia fungosa","CAN",TRUE
"Aeschynomene indica","SGP",FALSE
"Agalinis setacea","USA",TRUE
"Agastache scrophulariifolia","USA",TRUE
"Agrostemma githago","SWE",FALSE
"Agrostemma githago","RUS",TRUE
"Ajuga genevensis","SWE",FALSE
"Ajuga reptans","NOR",TRUE
"Alcea rugosa","RUS",TRUE
"Aldrovanda vesiculosa","CHE",TRUE
"Alisma gramineum","RUS",TRUE
"Alopecurus arundinaceus","DEU",TRUE
"Alopecurus myosuroides","SWE",FALSE
"Alternanthera philoxeroides","IND",FALSE
"Althaea officinalis","RUS",TRUE
"Amaranthus graecizans","CHE",TRUE
"Amethystea caerulea","JPN",TRUE
"Amorphophallus paeoniifolius","TWN",TRUE
"Anaphalis margaritacea","USA",TRUE
"Androsace occidentalis","USA",TRUE
"Anemonastrum dichotomum","RUS",TRUE
"Aniseia martinicensis","SGP",FALSE
"Anthemis arvensis","GBR",FALSE
"Anthemis cotula","GBR",TRUE
"Anthemis cotula","SWE",TRUE
"Anthriscus caucalis","SWE",TRUE
"Apium graveolens","SWE",FALSE
"Arabidopsis arenosa","NLD",TRUE
"Aremonia agrimonoides","DEU",TRUE
"Arenaria leptoclados","SWE",FALSE
"Arisaema amurense","RUS",TRUE
"Aristida dichotoma","USA",TRUE
"Aristolochia clematitis","NOR",FALSE
"Aristolochia clematitis","SWE",FALSE
"Aristolochia clematitis","RUS",TRUE
"Arnoseris minima","SWE",TRUE
"Artemisia absinthium","IRL",FALSE
"Artemisia annua","TWN",TRUE
"Artemisia arborescens","FRA",TRUE
"Artemisia dracunculus","RUS",TRUE
"Artemisia pontica","RUS",TRUE
"Artemisia rubripes","JPN",TRUE
"Arthraxon lancifolius","TWN",TRUE
"Asarina procumbens","CHE",TRUE
"Asarum europaeum","NOR",TRUE
"Asclepias tuberosa","USA",TRUE
"Asperugo procumbens","NOR",TRUE
"Asplenium ceterach","DEU",TRUE
"Astragalus arenarius","DEU",TRUE
"Astragalus chinensis","RUS",TRUE
"Astragalus danicus","DEU",TRUE
"Astragalus danicus","RUS",TRUE
"Astragalus falcatus","RUS",TRUE
"Astragalus onobrychis","RUS",TRUE
"Atocion armeria","DEU",TRUE
"Atriplex laciniata","SWE",TRUE
"Atriplex littoralis","USA",FALSE
"Aurinia saxatilis","DEU",TRUE
"Bellevalia ciliata","FRA",TRUE
"Bellevalia trifoliata","FRA",TRUE
"Bidens bipinnata","CHE",FALSE
"Bidens connata","CHE",FALSE
"Blitum bonus-henricus","IRL",FALSE
"Blitum bonus-henricus","SWE",FALSE
"Bolboschoenus maritimus","RUS",TRUE
"Bolboschoenus planiculmis","RUS",TRUE
"Braya humilis","USA",TRUE
"Brunnera sibirica","RUS",TRUE
"Buchozia japonica","JPN",FALSE
"Buglossoides arvensis","GBR",FALSE
"Buglossoides arvensis","NOR",TRUE
"Bunias orientalis","NLD",FALSE
"Bupleurum longifolium","RUS",TRUE
"Butomus umbellatus","GBR",TRUE
"Buxus sempervirens","RUS",TRUE
"Calepina irregularis","NLD",FALSE
"Calla palustris","CHE",TRUE
"Callirhoe alcaeoides","USA",TRUE
"Callistephus chinensis","RUS",TRUE
"Callitris oblonga","AUS",TRUE
"Camelina alyssum","AUT",TRUE
"Camelina microcarpa","NOR",TRUE
"Camelina microcarpa","SWE",TRUE
"Camelina sativa","SWE",FALSE
"Campanula rapunculus","GBR",FALSE
"Campanula rapunculus","SWE",FALSE
"Campanula sibirica","RUS",TRUE
"Caragana frutex","RUS",TRUE
"Cardamine macrophylla","RUS",TRUE
"Cardamine pratensis","JPN",TRUE
"Cardiospermum halicacabum","SGP",TRUE
"Carduus acanthoides","NOR",TRUE
"Carex argyi","JPN",TRUE
"Carex brizoides","RUS",TRUE
"Carex bushii","USA",TRUE
"Carex flacca","RUS",TRUE
"Carex gravida","USA",TRUE
"Carex mesochorea","USA",TRUE
"Carex pallescens","CAN",TRUE
"Carex pallescens","USA",TRUE
"Carex pendula","SWE",FALSE
"Carex praticola","USA",TRUE
"Carex secalina","DEU",TRUE
"Carex secalina","RUS",TRUE
"Carex swanii","CAN",TRUE
"Carex vulpinoidea","CHE",FALSE
"Carpinus betulus","LVA",TRUE
"Carum carvi","GBR",FALSE
"Castanea dentata","CAN",TRUE
"Castanea dentata","USA",TRUE
"Castilleja coccinea","CAN",TRUE
"Centaurea calcitrapa","GBR",FALSE
"Centaurea cyanus","GBR",FALSE
"Centaurea nigra","SWE",TRUE
"Centaurea phrygia","NOR",TRUE
"Centaurea phrygia","SWE",TRUE
"Centaurea stoebe","NLD",TRUE
"Centaurium pulchellum","RUS",TRUE
"Centrolepis strigosa","NZL",FALSE
"Cerastium brachypetalum","NLD",TRUE
"Cerastium comatum","FRA",TRUE
"Ceratopteris thalictroides","CUB",FALSE
"Cercis canadensis","USA",TRUE
"Chaerophyllum aureum","SWE",FALSE
"Chaerophyllum bulbosum","SWE",FALSE
"Chaerophyllum prescottii","SWE",FALSE
"Chaerophyllum temulum","IRL",TRUE
"Chamaelirium luteum","USA",TRUE
"Chenopodiastrum murale","GBR",FALSE
"Chenopodium standleyanum","USA",TRUE
"Chenopodium vulvaria","SWE",FALSE
"Chimaphila umbellata","FRA",TRUE
"Cichorium intybus","GBR",FALSE
