"species","native_area_km2","threatened_area_km2","ratio"
"Abelmoschus ficulneus",106721.142698863,5285.19804794153,0.0495234394449361
"Abelmoschus manihot",139043.059558966,81756.2010717886,0.587991959693014
"Abelmoschus moschatus",374461.33162608,72826.4241983236,0.194483163006654
"Abies alba",1792457.81223692,429477.826920484,0.239602753263415
"Abies pinsapo",342738.584661507,336965.959867806,0.983157353586549
"Abies sibirica",910992.703019477,28949.1468750555,0.0317775837052303
"Abildgaardia ovata",265086.858786962,411.567638239311,0.00155257654084644
"Abutilon indicum",683896.06682509,0,0
"Acalypha australis",528925.698614578,5361.28070168585,0.0101361698169114
"Acalypha indica",1382229.92005913,482.790165074776,0.000349283543980963
"Acanthus spinosus",177486.756955117,0,0
"Acer campestre",3559862.31391308,198477.588254019,0.0557542878774567
"Acer cappadocicum",157198.428933725,24748.0099345481,0.157431662023683
"Acer japonicum",232804.317004646,2112.55862479308,0.00907439626538764
"Acer negundo",4129471.67178736,17045.0510695486,0.00412765903832221
"Acer platanoides",4896754.17663583,442.539623073352,9.03740737455982e-05
"Acer tataricum",2086985.51662927,62750.9515690773,0.0300677465507416
"Achillea maritima",363974.819489673,12533.2076909922,0.0344342713283433
"Achillea nobilis",2673633.07905441,165981.084948473,0.0620807268763953
"Achillea pannonica",443102.638397283,17831.5437886323,0.0402424680952693
"Achillea ptarmica",3809031.25967052,490972.842365488,0.128897036777786
"Achillea setacea",987540.828403427,68236.4251995053,0.0690973205733926
"Achyranthes bidentata",434712.332485499,0,0
"Acmella paniculata",77887.7163821303,62715.8370511178,0.805208317360639
"Acmella pusilla",40503.9205166138,0,0
"Acmella uliginosa",56253.2648892629,482.790165074776,0.00858243812203914
"Aconitum lycoctonum",589032.837498726,107955.19905012,0.183275349314212
"Aconitum uncinatum",153031.275869237,152986.453069181,0.999707100396295
"Aconitum variegatum",566824.96926273,130156.419870689,0.229623652677093
"Acorus calamus",1624818.42960798,79854.3947114787,0.049146657408819
"Acrachne racemosa",100755.394128142,0,0
"Acrostichum aureum",688667.601533948,44646.7805680097,0.0648306678992344
"Actaea rubra",3908173.58360319,7156.47212448797,0.00183115513459102
"Actinidia arguta",418863.002214096,13448.1208661502,0.032106251435586
"Adenostemma lavenia",156844.361711317,30827.7409460802,0.19654988301601
"Adiantum capillus-veneris",4230489.4893371,395847.083119647,0.0935700429270359
"Adiantum hispidulum",604265.257302143,4405.6355877529,0.00729089672873581
"Adlumia fungosa",273818.222151721,196805.340559352,0.71874449776503
"Adonidia merrillii",79167.3909569388,65678.954672566,0.829621310980054
"Adonis aestivalis",1733608.20119664,369999.936465981,0.213427656958813
