"ISO3_Code","taxon_name","wcvp_accepted_id","status"
"ALB","Abutilon theophrasti",2611008,"non-native"
"ALB","Acer negundo",2616024,"non-native"
"ALB","Adiantum capillus-veneris",3147345,"threatened"
"ALB","Aesculus hippocastanum",2624517,"threatened"
"ALB","Agave americana",293578,"non-native"
"ALB","Ailanthus altissima",2626815,"non-native"
"ALB","Alcea rosea",2627710,"non-native"
"ALB","Amaranthus albus",2632650,"non-native"
"ALB","Amaranthus blitoides",2632706,"non-native"
"ALB","Amaranthus deflexus",2632798,"non-native"
"ALB","Amaranthus hybridus",2632871,"non-native"
"ALB","Amaranthus retroflexus",2633061,"non-native"
"ALB","Amaranthus viridis",2633159,"non-native"
"ALB","Amorpha fruticosa",2634148,"non-native"
"ALB","Antirrhinum majus",2642724,"non-native"
"ALB","Aralia spinosa",14264,"non-native"
"ALB","Arbutus andrachne",2646651,"threatened"
"ALB","Armoracia rusticana",2652952,"non-native"
"ALB","Artemisia verlotiorum",2901499,"non-native"
"ALB","Arundo donax",396629,"non-native"
"ALB","Azolla filiculoides",3145489,"non-native"
"ALB","Baldellia ranunculoides",300116,"threatened"
"ALB","Barbarea vulgaris",2669712,"threatened"
"ALB","Bassia scoparia",2670858,"non-native"
"ALB","Bidens frondosa",2925678,"non-native"
"ALB","Blitum capitatum",2677596,"non-native"
"ALB","Bougainvillea glabra",2680754,"non-native"
"ALB","Brassica rapa",2682652,"non-native"
"ALB","Buddleja davidii",2685390,"non-native"
"ALB","Butomus umbellatus",301538,"threatened"
"ALB","Caldesia parnassifolia",301599,"threatened"
"ALB","Caltha palustris",2693856,"threatened"
"ALB","Canna indica",223906,"non-native"
"ALB","Cannabis sativa",2696480,"non-native"
"ALB","Cardiospermum halicacabum",2700789,"non-native"
"ALB","Carpobrotus edulis",2701245,"non-native"
"ALB","Cedrus deodara",382693,"non-native"
"ALB","Cerastium grandiflorum",2710394,"threatened"
"ALB","Chamaemelum fuscatum",3112344,"non-native"
"ALB","Conium maculatum",2734165,"threatened"
"ALB","Convallaria majalis",303076,"threatened"
"ALB","Corylus colurna",47866,"threatened"
"ALB","Cupressus sempervirens",383232,"non-native"
"ALB","Cuscuta campestris",485281,"non-native"
"ALB","Cyclospermum leptophyllum",2750155,"non-native"
"ALB","Cymbalaria muralis",2750549,"non-native"
"ALB","Datura stramonium",2757848,"non-native"
"ALB","Dracunculus vulgaris",64176,"threatened"
"ALB","Dysphania ambrosioides",2780223,"non-native"
"ALB","Dysphania atriplicifolia",3273694,"non-native"
"ALB","Dysphania multifida",2780238,"non-native"
"ALB","Eclipta prostrata",2901074,"non-native"
"ALB","Elaeagnus angustifolia",2784980,"non-native"
"ALB","Eleusine indica",410636,"non-native"
"ALB","Elodea canadensis",309448,"non-native"
"ALB","Ephedra distachya",332906,"threatened"
"ALB","Erucastrum nasturtiifolium",2798870,"non-native"
"ALB","Eucalyptus camaldulensis",72616,"non-native"
"ALB","Eucalyptus globulus",73008,"non-native"
