"taxon_name","wcvp_accepted_id","status","ISO3_Code","isInvasive"
"Abdra brachycarpa",2609435,"non-native","USA",NA
"Abelia chinensis",2609453,"non-native","MEX",NA
"Abelmoschus esculentus",2609574,"non-native","CRI",NA
"Abelmoschus esculentus",2609574,"non-native","JPN",NA
"Abelmoschus esculentus",2609574,"non-native","MDG",NA
"Abelmoschus esculentus",2609574,"non-native","MEX",NA
"Abelmoschus esculentus",2609574,"non-native","MRT",NA
"Abelmoschus esculentus",2609574,"non-native","PRI",NA
"Abelmoschus esculentus",2609574,"non-native","TCD",NA
"Abelmoschus esculentus",2609574,"non-native","USA",NA
"Abelmoschus esculentus",2609574,"non-native","VIR",NA
"Abelmoschus esculentus",2609574,"non-native","ZAF",NA
"Abelmoschus esculentus",2609574,"non-native","ZMB",NA
"Abelmoschus ficulneus",2609577,"threatened","LKA",NA
"Abelmoschus ficulneus",2609577,"non-native","ERI",NA
"Abelmoschus ficulneus",2609577,"non-native","ETH",NA
"Abelmoschus ficulneus",2609577,"non-native","KEN",NA
"Abelmoschus ficulneus",2609577,"non-native","MDG",NA
"Abelmoschus ficulneus",2609577,"non-native","NER",NA
"Abelmoschus ficulneus",2609577,"non-native","NGA",NA
"Abelmoschus ficulneus",2609577,"non-native","SDN",NA
"Abelmoschus ficulneus",2609577,"non-native","SOM",NA
"Abelmoschus ficulneus",2609577,"non-native","TCD",NA
"Abelmoschus ficulneus",2609577,"non-native","TZA",NA
"Abelmoschus ficulneus",2609577,"non-native","UGA",NA
"Abelmoschus manihot",2609589,"threatened","IND",NA
"Abelmoschus manihot",2609589,"non-native","AUS",NA
"Abelmoschus manihot",2609589,"non-native","JPN",NA
"Abelmoschus manihot",2609589,"non-native","MEX",NA
"Abelmoschus manihot",2609589,"non-native","PAN",NA
"Abelmoschus manihot",2609589,"non-native","REU",NA
"Abelmoschus moschatus",2609599,"threatened","IND",NA
"Abelmoschus moschatus",2609599,"threatened","LKA",NA
"Abelmoschus moschatus",2609599,"non-native","ASM",NA
"Abelmoschus moschatus",2609599,"non-native","AUS",NA
"Abelmoschus moschatus",2609599,"non-native","CHN",NA
"Abelmoschus moschatus",2609599,"non-native","CRI",NA
"Abelmoschus moschatus",2609599,"non-native","GAB",NA
"Abelmoschus moschatus",2609599,"non-native","JPN",NA
"Abelmoschus moschatus",2609599,"non-native","MEX",NA
