"species","nonnative_area_km2"
"Abelmoschus ficulneus",21437.6147859168
"Abelmoschus manihot",20451.4758564929
"Abelmoschus moschatus",176527.888869805
"Abies alba",573112.029110374
"Abies pinsapo",185368.996547428
"Abies sibirica",64840.8019067852
"Abildgaardia ovata",13470.555099144
"Abutilon indicum",18587.5680860319
"Acalypha australis",129391.556554592
"Acalypha indica",47552.7614121078
"Acanthus spinosus",102793.787261362
"Acer campestre",360164.810360802
"Acer cappadocicum",132091.105079721
"Acer japonicum",0
"Acer negundo",6296044.33977183
"Acer platanoides",2373845.63392039
"Acer tataricum",337575.948425477
"Achillea maritima",2467.33507268431
"Achillea nobilis",175169.591576768
"Achillea pannonica",3160.31425073543
"Achillea ptarmica",1704790.86229763
"Achillea setacea",295.99459869775
"Achyranthes bidentata",194967.397385324
"Acmella paniculata",5504.45529658898
"Acmella pusilla",4346.16038109637
"Acmella uliginosa",97715.3537844823
"Aconitum lycoctonum",0
"Aconitum uncinatum",0
"Aconitum variegatum",11590.0410297229
"Acorus calamus",2129938.40549402
"Acrachne racemosa",0
"Acrostichum aureum",6368.98800409525
"Actaea rubra",97332.7624061888
"Actinidia arguta",38602.0593252885
"Adenostemma lavenia",6678.8091647067
"Adiantum capillus-veneris",301186.543332388
"Adiantum hispidulum",26210.8461603751
"Adlumia fungosa",1241.63164981578
"Adonidia merrillii",57956.4365673015
"Adonis aestivalis",96590.6883719844
"Adonis annua",64602.0671719356
"Adonis flammea",44309.2122550039
"Adonis microcarpa",44353.8492718589
"Adonis vernalis",0
"Aegilops cylindrica",671403.161606981
"Aegonychon purpurocaeruleum",7406.62382031027
"Aeluropus lagopoides",5081.26605755839
"Aeonium cuneatum",1049.83307804864
"Aeonium haworthii",118461.780875496
"Aeschynomene rudis",0
"Aeschynomene virginica",7625.91573874976
"Aesculus hippocastanum",3659702.08933031
"Agalinis setacea",0
"Agastache scrophulariifolia",0
"Agrostemma githago",672902.933148233
"Agrostis canina",7807.26411285562
"Agrostis hyemalis",0
"Agrostis scabra",103086.634805217
"Aira caryophyllea",1504212.51486878
"Aira praecox",311589.858096471
"Aira provincialis",11441.2320407891
"Aizoanthemopsis hispanica",147.058639927233
"Ajuga chamaepitys",0
"Ajuga genevensis",168130.660435207
"Ajuga pyramidalis",0
"Ajuga reptans",3179777.56312819
"Albizia chinensis",18709.9729291741
