"species","native_area_km2","threatened_area_km2","ratio","nonnative_area_km2"
"Abelmoschus ficulneus",106721.142698863,5285.19804794153,0.0495234394449361,21437.6147859168
"Abelmoschus manihot",139043.059558966,81756.2010717886,0.587991959693014,20451.4758564929
"Abelmoschus moschatus",374461.33162608,72826.4241983236,0.194483163006654,176527.888869805
"Abies alba",1792457.81223692,429477.826920484,0.239602753263415,573112.029110374
"Abies pinsapo",342738.584661507,336965.959867806,0.983157353586549,185368.996547428
"Abies sibirica",910992.703019477,28949.1468750555,0.0317775837052303,64840.8019067852
"Abildgaardia ovata",265086.858786962,411.567638239311,0.00155257654084644,13470.555099144
"Acalypha australis",528925.698614578,5361.28070168585,0.0101361698169114,129391.556554592
"Acalypha indica",1382229.92005913,482.790165074776,0.000349283543980963,47552.7614121078
"Acer campestre",3559862.31391308,198477.588254019,0.0557542878774567,360164.810360802
"Acer cappadocicum",157198.428933725,24748.0099345481,0.157431662023683,132091.105079721
"Acer negundo",4129471.67178736,17045.0510695486,0.00412765903832221,6296044.33977183
"Acer platanoides",4896754.17663583,442.539623073352,9.03740737455982e-05,2373845.63392039
"Acer tataricum",2086985.51662927,62750.9515690773,0.0300677465507416,337575.948425477
"Achillea maritima",363974.819489673,12533.2076909922,0.0344342713283433,2467.33507268431
"Achillea nobilis",2673633.07905441,165981.084948473,0.0620807268763953,175169.591576768
"Achillea pannonica",443102.638397283,17831.5437886323,0.0402424680952693,3160.31425073543
"Achillea ptarmica",3809031.25967052,490972.842365488,0.128897036777786,1704790.86229763
"Achillea setacea",987540.828403427,68236.4251995053,0.0690973205733926,295.99459869775
"Acmella paniculata",77887.7163821303,62715.8370511178,0.805208317360639,5504.45529658898
"Acmella uliginosa",56253.2648892629,482.790165074776,0.00858243812203914,97715.3537844823
"Aconitum variegatum",566824.96926273,130156.419870689,0.229623652677093,11590.0410297229
"Acorus calamus",1624818.42960798,79854.3947114787,0.049146657408819,2129938.40549402
"Acrostichum aureum",688667.601533948,44646.7805680097,0.0648306678992344,6368.98800409525
"Actaea rubra",3908173.58360319,7156.47212448797,0.00183115513459102,97332.7624061888
"Actinidia arguta",418863.002214096,13448.1208661502,0.032106251435586,38602.0593252885
"Adenostemma lavenia",156844.361711317,30827.7409460802,0.19654988301601,6678.8091647067
"Adiantum capillus-veneris",4230489.4893371,395847.083119647,0.0935700429270359,301186.543332388
"Adiantum hispidulum",604265.257302143,4405.6355877529,0.00729089672873581,26210.8461603751
"Adlumia fungosa",273818.222151721,196805.340559352,0.71874449776503,1241.63164981578
"Adonidia merrillii",79167.3909569388,65678.954672566,0.829621310980054,57956.4365673015
"Adonis aestivalis",1733608.20119664,369999.936465981,0.213427656958813,96590.6883719844
"Adonis annua",965604.492320111,65718.225333162,0.0680591545046121,64602.0671719356
"Adonis flammea",1019095.7894907,208477.334141835,0.204570891462541,44309.2122550039
"Aegilops cylindrica",436458.173879266,16540.5088419476,0.0378971224090834,671403.161606981
"Aegonychon purpurocaeruleum",1777208.49572876,29777.359996648,0.0167551303452651,7406.62382031027
"Aeluropus lagopoides",141430.290176011,15368.7685841475,0.108666740095216,5081.26605755839
"Aeonium cuneatum",2106.49039434623,2014.91339938201,0.956526269851495,1049.83307804864
"Aeonium haworthii",22195.2853424876,21942.7665213503,0.988622862142085,118461.780875496
"Aeschynomene virginica",8502.31463868377,8399.12297356548,0.98786310910575,7625.91573874976
"Aesculus hippocastanum",517405.234067995,63793.7238278795,0.123295474470396,3659702.08933031
"Agrostemma githago",1368639.56678177,769497.664041901,0.562235436354731,672902.933148233
"Agrostis canina",3199154.99442471,57932.1438367432,0.0181085767765875,7807.26411285562
"Agrostis scabra",844483.434247143,92443.6195646195,0.109467653023926,103086.634805217
"Aira caryophyllea",1936913.27112038,58066.1276258729,0.0299786926403191,1504212.51486878
"Aira praecox",1542944.83142799,19006.014725658,0.0123180131515577,311589.858096471
"Aira provincialis",24586.6174782709,3444.25692382086,0.140086651889583,11441.2320407891
"Ajuga genevensis",3128039.01488919,405327.083853604,0.12957865356675,168130.660435207
"Ajuga reptans",4598413.13986797,107613.499923147,0.0234023121998639,3179777.56312819
"Albizia chinensis",98977.9597017816,50802.5176743772,0.513271013339172,18709.9729291741
"Alcea rugosa",410250.979430221,2298.23122152557,0.00560201275989026,7590.91879263093
